                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.8165,                 1.2256,                 1.1148,                 0.5153,                0.65985,                0.52542,                0.23175,                 1.9776,                  1.273,                 1.1608,                0.00069,                0.00069,                0.00069
                     77,                 1.8493,                 1.2545,                 1.1163,                0.51062,                0.64836,                0.52419,                0.23497,                 1.9246,                 1.2741,                  1.142,              0.0006768,              0.0006768,              0.0006768
                     78,                 1.7853,                 1.2057,                 1.1348,                0.53332,                0.66352,                0.56841,                0.27826,                 1.7844,                 1.1781,                 1.1097,              0.0006636,              0.0006636,              0.0006636
                     79,                 1.8185,                 1.2122,                 1.1259,                0.52498,                 0.6517,                0.55011,                0.26043,                 1.8534,                 1.2087,                 1.1342,              0.0006504,              0.0006504,              0.0006504
                     80,                 1.8261,                 1.2863,                 1.0963,                0.51696,                 0.6738,                 0.5489,                0.25398,                 1.8678,                  1.206,                 1.1292,             0.00063719,             0.00063719,             0.00063719
                     81,                 1.8079,                 1.2376,                 1.1078,                0.52196,                0.69764,                0.56534,                0.27453,                 1.7607,                 1.1681,                 1.0981,             0.00062399,             0.00062399,             0.00062399
                     82,                 1.7871,                  1.204,                 1.1001,                0.52706,                0.70293,                0.57145,                0.27094,                 1.8298,                 1.1649,                 1.1158,             0.00061079,             0.00061079,             0.00061079
                     83,                 1.7896,                  1.227,                 1.0971,                0.54662,                0.72118,                0.59534,                0.28567,                 1.7972,                  1.155,                 1.1109,             0.00059759,             0.00059759,             0.00059759
                     84,                 1.7748,                 1.1976,                 1.0999,                0.50327,                0.67234,                0.53963,                0.25185,                 1.8043,                  1.208,                 1.1161,             0.00058438,             0.00058438,             0.00058438
                     85,                 1.7671,                 1.1992,                 1.1065,                0.49227,                  0.643,                0.51853,                0.23614,                 1.8913,                 1.2216,                 1.1414,             0.00057118,             0.00057118,             0.00057118
                     86,                 1.8315,                 1.2048,                 1.0995,                0.53437,                0.66285,                0.56486,                0.26483,                 1.8489,                 1.1713,                 1.1243,             0.00055798,             0.00055798,             0.00055798
                     87,                 1.7911,                 1.2363,                 1.0932,                   0.55,                 0.6987,                0.59685,                0.29287,                 1.7648,                 1.1287,                 1.0924,             0.00054478,             0.00054478,             0.00054478
                     88,                 1.7873,                 1.2204,                 1.0876,                0.54713,                0.70341,                0.58325,                 0.2786,                  1.816,                 1.1757,                 1.1057,             0.00053157,             0.00053157,             0.00053157
                     89,                 1.7453,                 1.2178,                 1.0859,                0.55867,                 0.7035,                0.58297,                0.27848,                 1.8251,                  1.177,                 1.1101,             0.00051837,             0.00051837,             0.00051837
                     90,                 1.8065,                 1.2056,                   1.09,                0.53971,                0.66695,                0.56069,                0.27046,                 1.7689,                  1.155,                 1.1021,             0.00050517,             0.00050517,             0.00050517
                     91,                 1.7339,                 1.1934,                 1.0946,                 0.5188,                0.66222,                 0.5539,                0.27055,                  1.767,                 1.1542,                  1.103,             0.00049197,             0.00049197,             0.00049197
                     92,                 1.7706,                 1.1741,                 1.0759,                0.51484,                  0.691,                 0.5763,                 0.2639,                 1.8758,                 1.1773,                 1.1276,             0.00047876,             0.00047876,             0.00047876
                     93,                 1.7666,                 1.2119,                   1.09,                0.52424,                0.69066,                0.59075,                0.28322,                 1.8207,                 1.1567,                 1.1101,             0.00046556,             0.00046556,             0.00046556
                     94,                 1.8311,                 1.2121,                 1.1234,                0.55884,                0.70893,                0.62162,                0.31463,                 1.7084,                 1.1094,                 1.0783,             0.00045236,             0.00045236,             0.00045236
                     95,                 1.8129,                 1.2003,                 1.0936,                 0.5371,                 0.7106,                0.59189,                0.28449,                 1.7584,                 1.1271,                 1.0948,             0.00043915,             0.00043915,             0.00043915
                     96,                 1.7786,                 1.1931,                  1.079,                0.48478,                0.62848,                0.48284,                0.20308,                 2.0499,                 1.2678,                  1.177,             0.00042595,             0.00042595,             0.00042595
                     97,                 1.8144,                 1.2148,                 1.0915,                0.50258,                0.63922,                0.50937,                0.24049,                 1.8514,                 1.2677,                 1.1179,             0.00041275,             0.00041275,             0.00041275
                     98,                  1.766,                 1.1921,                 1.0951,                 0.5555,                0.69071,                 0.5904,                0.29425,                  1.726,                 1.1545,                 1.0801,             0.00039955,             0.00039955,             0.00039955
                     99,                 1.7697,                 1.1746,                 1.0773,                0.57048,                0.72285,                0.61796,                0.30667,                 1.7405,                 1.1176,                 1.0826,             0.00038634,             0.00038634,             0.00038634
                    100,                 1.7544,                 1.1954,                 1.0867,                0.56792,                0.70097,                0.60474,                0.30012,                 1.7359,                  1.121,                 1.0849,             0.00037314,             0.00037314,             0.00037314
                    101,                 1.7394,                 1.1751,                 1.0842,                0.53933,                0.68225,                0.58404,                0.28955,                 1.7438,                 1.1418,                 1.0904,             0.00035994,             0.00035994,             0.00035994
                    102,                 1.7984,                 1.1922,                 1.0773,                0.53826,                0.69461,                0.58998,                0.28921,                 1.7801,                 1.1338,                 1.0981,             0.00034674,             0.00034674,             0.00034674
                    103,                 1.7474,                  1.182,                 1.0755,                 0.5532,                0.72759,                0.61089,                0.29439,                 1.7736,                 1.1152,                 1.0949,             0.00033353,             0.00033353,             0.00033353
                    104,                 1.8009,                  1.193,                 1.0979,                0.55374,                0.71894,                0.60662,                0.29973,                 1.7502,                 1.1124,                 1.0923,             0.00032033,             0.00032033,             0.00032033
                    105,                 1.7459,                 1.1797,                 1.0972,                0.53741,                 0.7013,                0.57856,                0.28318,                 1.7562,                 1.1443,                 1.0981,             0.00030713,             0.00030713,             0.00030713
                    106,                 1.7273,                  1.158,                   1.09,                 0.5493,                0.69118,                0.58083,                0.27932,                 1.7916,                 1.1573,                 1.1042,             0.00029393,             0.00029393,             0.00029393
                    107,                 1.7516,                 1.2011,                 1.1042,                0.55297,                0.69263,                0.58696,                0.28024,                  1.788,                 1.1549,                 1.1024,             0.00028072,             0.00028072,             0.00028072
                    108,                 1.7374,                 1.1416,                  1.082,                0.55082,                0.70123,                0.59946,                0.29706,                 1.7364,                 1.1249,                 1.0883,             0.00026752,             0.00026752,             0.00026752
                    109,                 1.7314,                   1.18,                 1.0827,                0.54597,                0.67892,                0.58307,                0.28341,                 1.7477,                 1.1297,                 1.0936,             0.00025432,             0.00025432,             0.00025432
                    110,                 1.7229,                   1.15,                  1.061,                0.52585,                0.66167,                0.55483,                0.25716,                 1.8307,                 1.1562,                 1.1147,             0.00024111,             0.00024111,             0.00024111
                    111,                 1.7057,                 1.1449,                 1.0713,                0.53099,                0.67274,                0.56852,                0.26712,                 1.8008,                 1.1488,                 1.1052,             0.00022791,             0.00022791,             0.00022791
                    112,                 1.7674,                 1.1757,                 1.0783,                0.55017,                0.70613,                0.59073,                0.29246,                 1.7446,                 1.1327,                  1.087,             0.00021471,             0.00021471,             0.00021471
                    113,                 1.7125,                 1.1331,                 1.0813,                0.55639,                0.71119,                0.59515,                0.29481,                 1.7526,                 1.1441,                 1.0896,             0.00020151,             0.00020151,             0.00020151
                    114,                  1.721,                  1.162,                 1.0851,                0.55438,                0.71935,                0.59868,                0.29509,                  1.745,                 1.1421,                 1.0874,              0.0001883,              0.0001883,              0.0001883
                    115,                 1.7458,                 1.1685,                 1.0783,                0.56028,                0.70161,                0.59658,                0.28989,                 1.7493,                 1.1422,                 1.0885,              0.0001751,              0.0001751,              0.0001751
                    116,                 1.7177,                  1.248,                 1.0977,                0.55608,                0.71294,                 0.6076,                0.30326,                 1.7193,                 1.1301,                 1.0794,              0.0001619,              0.0001619,              0.0001619
                    117,                 1.6938,                 1.2313,                 1.0986,                 0.5612,                0.72322,                0.61734,                0.31098,                 1.7056,                 1.1181,                 1.0725,              0.0001487,              0.0001487,              0.0001487
                    118,                 1.6741,                 1.1979,                 1.1034,                0.56688,                 0.7234,                0.62482,                0.31767,                 1.6997,                 1.1158,                 1.0685,             0.00013549,             0.00013549,             0.00013549
                    119,                 1.7523,                 1.2138,                 1.1057,                0.57204,                0.71299,                0.61594,                0.31496,                 1.7033,                 1.1284,                 1.0682,             0.00012229,             0.00012229,             0.00012229
                    120,                  1.683,                 1.1819,                 1.0944,                0.56957,                 0.6965,                0.60897,                0.30411,                 1.7246,                 1.1327,                 1.0724,             0.00010909,             0.00010909,             0.00010909
                    121,                 1.6931,                 1.1599,                 1.0699,                0.55397,                0.70148,                0.60886,                0.30191,                 1.7339,                 1.1219,                 1.0728,             9.5886e-05,             9.5886e-05,             9.5886e-05
                    122,                 1.6955,                 1.1665,                 1.1041,                0.56004,                0.70614,                0.61542,                0.30777,                 1.7243,                 1.1178,                 1.0692,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    123,                 1.6606,                 1.1244,                 1.0903,                0.56794,                0.70389,                0.62004,                0.31187,                 1.7092,                  1.122,                 1.0647,             6.9481e-05,             6.9481e-05,             6.9481e-05
                    124,                 1.6847,                  1.163,                 1.0717,                0.57527,                0.70036,                0.61834,                0.31158,                 1.7066,                 1.1325,                 1.0641,             5.6278e-05,             5.6278e-05,             5.6278e-05
                    125,                 1.6704,                 1.1643,                 1.1025,                 0.5675,                0.70251,                0.61388,                 0.3093,                 1.7099,                 1.1362,                 1.0649,             4.3075e-05,             4.3075e-05,             4.3075e-05
